date,open,high,low,close,volume
2026-01-02,43750,44420,43180,44110,42100
2026-01-03,44120,44650,43840,44510,39920
2026-01-04,44520,44910,44050,44300,38210
2026-01-05,44310,45100,44120,44980,41230
2026-01-06,44990,45520,44640,45310,40500
2026-01-07,45320,45800,45010,45670,43310
2026-01-08,45680,46250,45420,46090,44520
2026-01-09,46100,46480,45720,45940,43890
2026-01-10,45950,46600,45690,46420,45200
2026-01-11,46430,47010,46250,46890,47020
2026-01-12,46900,47230,46580,46740,44810
2026-01-13,46750,47340,46600,47120,43980
2026-01-14,47130,47710,46920,47580,46100
2026-01-15,47590,48200,47310,47960,47840
2026-01-16,47970,48540,47620,48350,48910
2026-01-17,48360,48920,48080,48730,50020
2026-01-18,48740,49210,48420,49050,49680
2026-01-19,49060,49640,48890,49470,50520
2026-01-20,49480,50010,49200,49890,51230
2026-01-21,49900,50330,49540,50120,51990
2026-01-22,50130,50710,49980,50580,52410
2026-01-23,50590,51020,50170,50310,51720
2026-01-24,50320,50940,50010,50760,51190
2026-01-25,50770,51350,50480,51140,53620
2026-01-26,51150,51720,50830,51590,54990
2026-01-27,51600,52040,51250,51420,54100
2026-01-28,51430,51910,50980,51210,53540
2026-01-29,51220,51880,51040,51730,54720
2026-01-30,51740,52300,51460,52110,55640
2026-01-31,52120,52670,51810,52580,56890
