date,open,high,low,close,volume
2024-07-01,307.3,307.6,307.1,307.4,1
2024-08-01,307.4,307.8,307.2,307.7,1
2024-09-01,307.7,308.0,307.5,307.9,1
2024-10-01,307.9,308.4,307.8,308.3,1
2024-11-01,308.3,308.9,308.2,308.7,1
2024-12-01,308.7,309.1,308.5,309.0,1
2025-01-01,309.0,309.4,308.8,309.2,1
2025-02-01,309.2,309.8,309.0,309.6,1
2025-03-01,309.6,310.1,309.4,310.0,1
2025-04-01,310.0,310.5,309.7,310.3,1
2025-05-01,310.3,310.9,310.1,310.7,1
2025-06-01,310.7,311.2,310.5,311.0,1
2025-07-01,311.0,311.5,310.7,311.3,1
2025-08-01,311.3,311.9,311.0,311.7,1
2025-09-01,311.7,312.2,311.4,312.0,1
2025-10-01,312.0,312.6,311.8,312.4,1
2025-11-01,312.4,312.9,312.1,312.7,1
2025-12-01,312.7,313.3,312.4,313.1,1
