date,open,high,low,close,volume
2026-01-02,478.20,481.10,476.90,480.45,81234000
2026-01-05,480.60,482.90,479.40,481.75,76542000
2026-01-06,481.80,483.20,478.80,479.35,88912000
2026-01-07,479.50,482.40,478.90,481.95,80123000
2026-01-08,482.10,484.50,480.60,483.70,77452000
2026-01-09,483.90,486.00,482.50,485.80,79215000
2026-01-12,485.70,487.30,483.10,484.10,83510000
2026-01-13,484.20,486.80,483.70,486.35,75643000
2026-01-14,486.50,488.20,485.20,487.90,74321000
2026-01-15,488.00,490.40,487.10,489.85,80221000
2026-01-16,489.70,491.60,488.20,490.10,77853000
2026-01-20,490.00,492.30,489.50,491.95,76422000
2026-01-21,492.10,493.80,490.60,491.20,78345000
2026-01-22,491.30,494.20,490.90,493.65,76988000
2026-01-23,493.80,495.70,492.40,494.90,75199000
2026-01-26,495.10,496.30,492.80,493.15,81973000
2026-01-27,493.30,495.20,491.70,492.05,81243000
2026-01-28,492.20,494.90,491.20,494.55,77621000
2026-01-29,494.70,497.40,494.10,496.95,74912000
2026-01-30,497.00,498.10,495.30,496.20,78842000
2026-02-02,496.10,499.00,495.80,498.55,79521000
2026-02-03,498.40,500.20,497.10,499.70,77034000
2026-02-04,499.80,501.50,498.20,500.85,78602000
2026-02-05,500.90,502.70,499.40,501.10,76350000
2026-02-06,501.20,503.10,500.50,502.65,74298000
2026-02-09,502.80,504.60,501.90,503.20,75999000
2026-02-10,503.10,505.00,501.70,502.25,77112000
2026-02-11,502.30,504.80,501.80,504.10,75321000
2026-02-12,504.20,506.40,503.50,505.90,74532000
2026-02-13,506.10,507.30,504.90,506.45,73821000
